timestamp,psn,pca_eig0,pca_eig1,pca_eig2,pca_eig3,pca_eig4
2017-08-12 04:30:00,41,8.232,-5.789,1.385,-2.212,0.413
2017-08-12 04:40:00,41,8.338,-5.631,1.578,-2.023,0.736
2017-08-12 04:50:00,41,8.223,-5.543,1.474,-2.203,0.516
2017-08-12 05:00:00,41,8.109,-5.587,1.408,-2.286,0.726
2017-08-12 05:10:00,41,8.265,-5.608,1.474,-2.232,0.709
2017-08-12 05:20:00,41,8.307,-5.707,1.251,-2.411,0.45
2017-08-12 05:30:00,41,8.141,-5.445,1.552,-2.179,0.522
2017-08-12 05:40:00,41,8.511,-5.74,1.488,-2.326,0.479
2017-08-12 05:50:00,41,8.122,-5.569,1.236,-2.419,0.388
2017-08-12 06:00:00,41,8.442,-5.705,1.53,-2.322,0.672
2017-08-12 06:10:00,41,8.242,-5.737,1.204,-2.547,0.27
2017-08-12 06:20:00,41,8.249,-5.702,1.331,-2.394,0.565
2017-08-12 06:30:00,41,8.447,-5.899,1.282,-2.492,0.478
2017-08-12 06:40:00,41,8.343,-5.596,1.44,-2.447,0.433
2017-08-12 06:50:00,41,8.273,-5.705,1.332,-2.461,0.41
2017-08-12 07:00:00,41,8.4,-5.74,1.235,-2.642,0.351
2017-08-12 07:10:00,41,8.065,-5.552,1.307,-2.509,0.599
2017-08-12 07:20:00,41,8.046,-5.663,1.282,-2.618,0.487
2017-08-12 07:30:00,41,7.989,-5.752,1.186,-2.718,0.527
2017-08-12 07:40:00,41,8.062,-5.747,1.344,-2.503,0.705
2017-08-12 07:50:00,41,8.391,-5.853,1.384,-2.579,0.604
2017-08-12 08:00:00,41,8.022,-5.644,1.106,-2.766,0.5
2017-08-12 08:10:00,41,8.233,-5.645,1.302,-2.632,0.518
2017-08-12 08:20:00,41,8.166,-5.81,1.127,-2.79,0.352
2017-08-12 08:30:00,41,7.931,-5.636,1.175,-2.806,0.448
2017-08-12 08:40:00,41,8.046,-5.617,1.173,-2.818,0.47
2017-08-12 08:50:00,41,7.88,-5.624,1.266,-2.8,0.521
2017-08-12 09:00:00,41,7.969,-5.755,1.127,-2.865,0.404
2017-08-12 09:10:00,41,8.109,-5.738,1.194,-2.869,0.236
2017-08-12 09:20:00,41,8.129,-5.775,1.284,-2.817,0.453
2017-08-12 09:30:00,41,8.254,-5.848,1.198,-2.802,0.368
2017-08-12 09:40:00,41,8.38,-5.829,1.503,-2.485,0.419
2017-08-12 09:50:00,41,8.397,-5.941,1.314,-2.584,0.47
2017-08-12 10:00:00,41,8.345,-5.809,1.283,-2.775,0.263
2017-08-12 10:10:00,41,8.213,-5.878,1.264,-2.723,0.418
2017-08-12 10:20:00,41,8.335,-5.761,1.417,-2.663,0.568
2017-08-12 10:30:00,41,8.26,-5.786,1.194,-2.868,0.249
2017-08-12 10:40:00,41,8.106,-5.77,1.246,-2.746,0.269
2017-08-12 10:50:00,41,8.279,-5.708,1.203,-2.909,0.599
2017-08-12 11:00:00,41,7.874,-5.815,1.004,-3.129,0.481
2017-08-12 11:10:00,41,7.992,-5.612,1.096,-3.109,0.684
2017-08-12 11:20:00,41,7.821,-5.561,0.967,-3.427,0.44
2017-08-12 11:30:00,41,7.504,-5.325,1.067,-3.558,0.35
2017-08-12 11:40:00,41,7.623,-5.448,0.839,-3.954,0.224
2017-08-12 11:50:00,41,7.262,-5.332,0.585,-4.208,0.22
2017-08-12 12:00:00,41,7.029,-5.161,0.738,-4.199,0.38
